n,number_of_clusters,does_span,total_cluster_area,occupation_prob
486,443,False,0.018993913387641385,0.0323978401439904
487,444,False,0.018993914052511614,0.0324645023665089
488,445,False,0.01899391560019607,0.0325311645890274
489,446,False,0.018993915603669368,0.032597826811545896
490,447,False,0.01899391560367154,0.032664489034064395
491,448,False,0.0189939790423365,0.032731151256582894
492,449,False,0.018993979042357813,0.03279781347910139
493,450,False,0.01899397918980659,0.03286447570161989
494,450,False,0.01899398100068297,0.03293113792413839
495,451,False,0.018994171352239395,0.03299780014665689
496,452,False,0.01899424632521593,0.03306446236917539
497,453,False,0.018994246325245233,0.033131124591693886
498,454,False,0.018994246325254212,0.033197786814212385
499,455,False,0.018994246325263902,0.033264449036730884
500,456,False,0.018994246325267018,0.03333111125924938
501,457,False,0.018994246325671794,0.03339777348176788
502,458,False,0.018994308580652618,0.03346443570428638
503,458,False,0.01899446922519993,0.03353109792680488
504,459,False,0.01900006270386459,0.03359776014932338
505,460,False,0.019000072110570893,0.033664422371841876
506,461,False,0.019000072482204904,0.033731084594360375
507,461,False,0.019000749645217616,0.033797746816878874
508,462,False,0.019001196309149766,0.03386440903939737
509,463,False,0.019001201639035722,0.03393107126191587
510,464,False,0.019001201639046263,0.03399773348443437
511,465,False,0.01900120163940139,0.03406439570695287
512,466,False,0.01900120171367669,0.03413105792947137
513,467,False,0.019001201713680266,0.034197720151989866
514,468,False,0.01900157029094566,0.034264382374508365
515,469,False,0.019001570293392472,0.034331044597026864
516,470,False,0.01900157930966501,0.03439770681954536
517,471,False,0.01902717352010932,0.03446436904206386
518,472,False,0.019027173612379676,0.03453103126458236
519,473,False,0.01903017283971213,0.03459769348710086
520,474,False,0.01903017284101385,0.03466435570961936
521,475,False,0.019030172844858015,0.034731017932137856
522,476,False,0.01903028355381765,0.034797680154656355
523,477,False,0.019030283560675834,0.03486434237717485
524,478,False,0.01903028356084378,0.03493100459969335
525,478,False,0.019030283560915653,0.03499766682221185
526,479,False,0.019030283560915857,0.03506432904473035
527,480,False,0.01903028356093746,0.03513099126724885
528,481,False,0.019030335829486208,0.03519765348976735
529,482,False,0.019030335830005917,0.035264315712285846
530,483,False,0.01903033587132018,0.035330977934804345
531,483,False,0.019030335871848995,0.03539764015732284
532,484,False,0.01903175547147913,0.03546430237984134
533,485,False,0.019041690266096662,0.03553096460235984
534,486,False,0.019711368466868592,0.03559762682487834
535,487,False,0.019711368466876485,0.03566428904739684
536,488,False,0.019711371693483897,0.03573095126991534
537,489,False,0.01971137173257388,0.035797613492433836
538,490,False,0.019712221083672606,0.035864275714952334
539,491,False,0.01971230295295966,0.03593093793747083
540,492,False,0.019712304521726152,0.03599760015998933
541,492,False,0.019712304521763747,0.03606426238250783
